title,franchise,year,generation,console,website,publisher,developer,genre,confidence,notes,source_file
Mario Party Advance,Mario,2005,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
Mario Pinball Land,Mario,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
Mario Tennis: Power Tour,Mario,2005,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Sports,Medium,,game_lists_6th_gen_enriched
Mario vs. Donkey Kong,Mario,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
Luigi’s Mansion,Mario,2001,6th Generation,Nintendo GameCube,,Nintendo,Nintendo EAD,Action-adventure,High,,game_lists_6th_gen_enriched
Mario Power Tennis,Mario,2004,6th Generation,Nintendo GameCube,,Nintendo,Nintendo,Sports,Medium,,game_lists_6th_gen_enriched
Mario Superstar Baseball,Mario,2005,6th Generation,Nintendo GameCube,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
Super Mario Sunshine,Mario,2002,6th Generation,Nintendo GameCube,,Nintendo,Nintendo EAD,Platformer,High,,game_lists_6th_gen_enriched
Mario & Sonic at the Olympic Games,Mario,2008,6th Generation,Nintendo DS,,Nintendo,Nintendo,Sports,Medium,,game_lists_6th_gen_enriched
Mario & Sonic at the Olympic Winter Games,Mario,2009,6th Generation,Nintendo DS,,Nintendo,Nintendo,Sports,Medium,,game_lists_6th_gen_enriched
Mario Hoops 3-on-3,Mario,2006,6th Generation,Nintendo DS,,Nintendo,Nintendo,Sports,Medium,,game_lists_6th_gen_enriched
Mario vs. Donkey Kong 2: March of the Minis,Mario,2006,6th Generation,Nintendo DS,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
Mario vs. Donkey Kong: Mini-Land Mayhem!,Mario,2010,6th Generation,Nintendo DS,,Nintendo,Nintendo,Platformer,Medium,,game_lists_6th_gen_enriched
New Super Mario Bros.,Mario,2006,6th Generation,Nintendo DS,,Nintendo,Nintendo EAD,Platformer,High,,game_lists_6th_gen_enriched
Super Mario 64 DS,Mario,2004,6th Generation,Nintendo DS,,Nintendo,Nintendo EAD,Platformer,High,,game_lists_6th_gen_enriched
Fantastic 4,Marvel,2005,6th Generation,Sony PlayStation 2,,Activision,7 Studios,Action,Medium,,game_lists_6th_gen_enriched
Fantastic 4,Marvel,2005,6th Generation,Nintendo GameBoy Advance,,Activision,7 Studios,Action,Medium,,game_lists_6th_gen_enriched
Hulk,Marvel,2003,6th Generation,Sony PlayStation 2,,Vivendi Universal Games / SEGA,Radical Entertainment / Edge of Reality,Action-adventure,Medium,Licensed title; exact publisher/developer differs by title.,game_lists_6th_gen_enriched
The Incredible Hulk,Marvel,2008,6th Generation,Sony PlayStation 2,,Vivendi Universal Games / SEGA,Radical Entertainment / Edge of Reality,Action-adventure,Medium,Licensed title; exact publisher/developer differs by title.,game_lists_6th_gen_enriched
The Incredible Hulk: Ultimate Destruction,Marvel,2005,6th Generation,Sony PlayStation 2,,Vivendi Universal Games,Radical Entertainment,Action,Medium,,game_lists_6th_gen_enriched
The Incredible Hulk,Marvel,2003,6th Generation,Nintendo GameBoy Advance,,Vivendi Universal Games / SEGA,Radical Entertainment / Edge of Reality,Action-adventure,Medium,Licensed title; exact publisher/developer differs by title.,game_lists_6th_gen_enriched
Hulk,Marvel,2003,6th Generation,Nintendo GameCube,,Vivendi Universal Games / SEGA,Radical Entertainment / Edge of Reality,Action-adventure,Medium,Licensed title; exact publisher/developer differs by title.,game_lists_6th_gen_enriched
The Incredible Hulk: Ultimate Destruction,Marvel,2005,6th Generation,Nintendo GameCube,,Vivendi Universal Games,Radical Entertainment,Action,Medium,,game_lists_6th_gen_enriched
Iron Man,Marvel,2008,6th Generation,Sony PlayStation 2,,SEGA,Secret Level / Artificial Mind and Movement,Action,Medium,Licensed title; verify exact platform.,game_lists_6th_gen_enriched
Iron Man,Marvel,2008,6th Generation,Nintendo DS,,SEGA,Secret Level / Artificial Mind and Movement,Action,Medium,Licensed title; verify exact platform.,game_lists_6th_gen_enriched
Iron Man 2,Marvel,2010,6th Generation,Nintendo DS,,SEGA,Secret Level,Action,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Iron Man,Marvel,2008,6th Generation,Sony PlayStation Portable,,SEGA,Secret Level / Artificial Mind and Movement,Action,Medium,Licensed title; verify exact platform.,game_lists_6th_gen_enriched
Iron Man 2,Marvel,2010,6th Generation,Sony PlayStation Portable,,SEGA,Secret Level,Action,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Marvel Nemesis: Rise of the Imperfects,Marvel,2005,6th Generation,Sony PlayStation 2,,Electronic Arts,Nihilistic Software,Fighting,High,,game_lists_6th_gen_enriched
Marvel: Ultimate Alliance,Marvel,2006,6th Generation,Sony PlayStation 2,,Marvel Games,Various,Action,Medium,Licensed Marvel title; publisher/developer varies.,game_lists_6th_gen_enriched
Marvel: Ultimate Alliance 2,Marvel,2009,6th Generation,Sony PlayStation 2,,Marvel Games,Various,Action,Medium,Licensed Marvel title; publisher/developer varies.,game_lists_6th_gen_enriched
Marvel: Ultimate Alliance,Marvel,2006,6th Generation,Nintendo GameBoy Advance,,Marvel Games,Various,Action,Medium,Licensed Marvel title; publisher/developer varies.,game_lists_6th_gen_enriched
Marvel Nemesis: Rise of the Imperfects,Marvel,2005,6th Generation,Nintendo GameCube,,Electronic Arts,Nihilistic Software,Fighting,High,,game_lists_6th_gen_enriched
Marvel Nemesis: Rise of the Imperfects,Marvel,2005,6th Generation,Nintendo DS,,Electronic Arts,Nihilistic Software,Fighting,High,,game_lists_6th_gen_enriched
Marvel Trading Card Game,Marvel,2007,6th Generation,Nintendo DS,,Konami,Vicious Cycle Software,Card battle,Medium,,game_lists_6th_gen_enriched
Marvel: Ultimate Alliance 2,Marvel,2009,6th Generation,Nintendo DS,,Marvel Games,Various,Action,Medium,Licensed Marvel title; publisher/developer varies.,game_lists_6th_gen_enriched
Marvel Nemesis: Rise of the Imperfects,Marvel,2005,6th Generation,Sony PlayStation Portable,,Electronic Arts,Nihilistic Software,Fighting,High,,game_lists_6th_gen_enriched
Marvel Trading Card Game,Marvel,2007,6th Generation,Sony PlayStation Portable,,Konami,Vicious Cycle Software,Card battle,Medium,,game_lists_6th_gen_enriched
Marvel: Ultimate Alliance,Marvel,2006,6th Generation,Sony PlayStation Portable,,Marvel Games,Various,Action,Medium,Licensed Marvel title; publisher/developer varies.,game_lists_6th_gen_enriched
Marvel: Ultimate Alliance 2,Marvel,2009,6th Generation,Sony PlayStation Portable,,Marvel Games,Various,Action,Medium,Licensed Marvel title; publisher/developer varies.,game_lists_6th_gen_enriched
Captain America: Super Soldier,Marvel,2011,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Fantastic Four,Marvel,2005,6th Generation,Nintendo GameCube,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Fantastic Four: Rise of the Silver Surfer,Marvel,2007,6th Generation,Nintendo DS,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
The Invincible Iron Man,Marvel,2002,6th Generation,Nintendo GameBoy Advance,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Marvel Super Hero Squad,Marvel,2009,6th Generation,Sony PlayStation 2,,THQ,Blue Tongue Entertainment,Action,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Marvel Super Hero Squad,Marvel,2009,6th Generation,Nintendo DS,,THQ,Blue Tongue Entertainment,Action,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Marvel Super Hero Squad: The Infinity Gauntlet,Marvel,2010,6th Generation,Nintendo DS,,THQ,Blue Tongue Entertainment,Action,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Marvel Super Hero Squad,Marvel,2009,6th Generation,Sony PlayStation Portable,,THQ,Blue Tongue Entertainment,Action,Medium,Developer varies by platform.,game_lists_6th_gen_enriched
Marvel vs. Capcom 2,Marvel,2002,6th Generation,Sony PlayStation 2,,Capcom,Capcom,Fighting,High,,game_lists_6th_gen_enriched
Max Payne,Max Payne,2001,6th Generation,Sony PlayStation 2,,Rockstar Games,Remedy Entertainment / Rockstar Studios,Third-person Shooter,Medium,First two by Remedy; third by Rockstar Studios.,game_lists_6th_gen_enriched
Max Payne 2: The Fall of Max Payne,Max Payne,2003,6th Generation,Sony PlayStation 2,,Rockstar Games,Remedy Entertainment / Rockstar Studios,Third-person Shooter,Medium,First two by Remedy; third by Rockstar Studios.,game_lists_6th_gen_enriched
Max Payne,Max Payne,2003,6th Generation,Nintendo GameBoy Advance,,Rockstar Games,Remedy Entertainment / Rockstar Studios,Third-person Shooter,Medium,First two by Remedy; third by Rockstar Studios.,game_lists_6th_gen_enriched
Medal of Honor: European Assault,Medal of Honor,2005,6th Generation,Sony PlayStation 2,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Frontline,Medal of Honor,2002,6th Generation,Sony PlayStation 2,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Rising Sun,Medal of Honor,2003,6th Generation,Sony PlayStation 2,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Vanguard,Medal of Honor,2007,6th Generation,Sony PlayStation 2,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Infiltrator,Medal of Honor,2003,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Underground,Medal of Honor,2002,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,DreamWorks Interactive,FPS,High,,game_lists_6th_gen_enriched
Medal of Honor: European Assault,Medal of Honor,2005,6th Generation,Nintendo GameCube,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Frontline,Medal of Honor,2002,6th Generation,Nintendo GameCube,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Rising Sun,Medal of Honor,2003,6th Generation,Nintendo GameCube,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Heroes,Medal of Honor,2006,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Medal of Honor: Heroes 2,Medal of Honor,2007,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA Los Angeles,FPS,Medium,Developer may vary by platform/port.,game_lists_6th_gen_enriched
Metal Gear Solid 2: Sons of Liberty,Metal Gear,2001,6th Generation,Sony PlayStation 2,,Konami,Konami Computer Entertainment Japan,Stealth,High,,game_lists_6th_gen_enriched
Metal Gear Solid 3: Snake Eater,Metal Gear,2004,6th Generation,Sony PlayStation 2,,Konami,Konami Computer Entertainment Japan,Stealth,High,,game_lists_6th_gen_enriched
Metal Gear Solid: The Twin Snakes,Metal Gear,2004,6th Generation,Nintendo GameCube,,Konami,Kojima Productions,Stealth,Medium,,game_lists_6th_gen_enriched
Metal Gear Acid,Metal Gear,2004,6th Generation,Sony PlayStation Portable,,Konami,Kojima Productions,Strategy,High,,game_lists_6th_gen_enriched
Metal Gear Acid 2,Metal Gear,2005,6th Generation,Sony PlayStation Portable,,Konami,Kojima Productions,Strategy,High,,game_lists_6th_gen_enriched
Metal Gear Solid: Portable Ops,Metal Gear,2006,6th Generation,Sony PlayStation Portable,,Konami,Kojima Productions,Stealth,Medium,,game_lists_6th_gen_enriched
Metal Gear Solid: Portable Ops Plus,Metal Gear,2007,6th Generation,Sony PlayStation Portable,,Konami,Kojima Productions,Stealth,Medium,,game_lists_6th_gen_enriched
Metal Gear Solid: Peace Walker,Metal Gear,2010,6th Generation,Sony PlayStation Portable,,Konami,Kojima Productions,Stealth,High,,game_lists_6th_gen_enriched
Classic NES Series: Metroid,Metroid,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo R&D1,Action-adventure,High,Classic NES Series re-release.,game_lists_6th_gen_enriched
Metroid Fusion,Metroid,2002,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Action-adventure,Medium,,game_lists_6th_gen_enriched
Metroid: Zero Mission,Metroid,2004,6th Generation,Nintendo GameBoy Advance,,Nintendo,Nintendo,Action-adventure,Medium,,game_lists_6th_gen_enriched
Metroid Prime,Metroid,2002,6th Generation,Nintendo GameCube,,Nintendo,Retro Studios,Action-adventure,High,,game_lists_6th_gen_enriched
Metroid Prime 2: Echoes,Metroid,2004,6th Generation,Nintendo GameCube,,Nintendo,Retro Studios,Action-adventure,High,,game_lists_6th_gen_enriched
Metroid Prime Hunters,Metroid,2006,6th Generation,Nintendo DS,,Nintendo,Nintendo Software Technology,FPS,High,,game_lists_6th_gen_enriched
Metroid Prime Pinball,Metroid,2005,6th Generation,Nintendo DS,,Nintendo,Fuse Games,Pinball,High,,game_lists_6th_gen_enriched
Midnight Club: Street Racing,Midnight Club,2000,6th Generation,Sony PlayStation 2,,Rockstar Games,Rockstar San Diego,Racing,High,,game_lists_6th_gen_enriched
Midnight Club II,Midnight Club,2003,6th Generation,Sony PlayStation 2,,Rockstar Games,Rockstar San Diego,Racing,High,,game_lists_6th_gen_enriched
Midnight Club 3 - DUB Edition,Midnight Club,2005,6th Generation,Sony PlayStation 2,,Rockstar Games,Rockstar San Diego,Racing,High,,game_lists_6th_gen_enriched
Midnight Club 3 - DUB Edition,Midnight Club,2005,6th Generation,Sony PlayStation Portable,,Rockstar Games,Rockstar San Diego,Racing,High,,game_lists_6th_gen_enriched
Midnight Club: L.A. Remix,Midnight Club,2008,6th Generation,Sony PlayStation Portable,,Rockstar Games,Rockstar San Diego,Racing,High,,game_lists_6th_gen_enriched
Mortal Kombat: Armageddon,Mortal Kombat,2006,6th Generation,Sony PlayStation 2,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Deadly Alliance,Mortal Kombat,2002,6th Generation,Sony PlayStation 2,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Deception,Mortal Kombat,2004,6th Generation,Sony PlayStation 2,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Shaolin Monks,Mortal Kombat,2005,6th Generation,Sony PlayStation 2,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat Advance,Mortal Kombat,2002,6th Generation,Nintendo GameBoy Advance,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Deadly Alliance,Mortal Kombat,2002,6th Generation,Nintendo GameBoy Advance,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Tournament Edition,Mortal Kombat,2003,6th Generation,Nintendo GameBoy Advance,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Deadly Alliance,Mortal Kombat,2002,6th Generation,Nintendo GameCube,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mortal Kombat: Deception,Mortal Kombat,2005,6th Generation,Nintendo GameCube,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Ultimate Mortal Kombat,Mortal Kombat,2007,6th Generation,Nintendo DS,,Midway Games,Midway Games,Fighting,High,,game_lists_6th_gen_enriched
Mother 1 + 2,Mother,2003,6th Generation,Nintendo GameBoy Advance,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Mother 3,Mother,2006,6th Generation,Nintendo GameBoy Advance,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
MotorStorm: Arctic Edge,MotorStorm,2009,6th Generation,Sony PlayStation 2,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
MotorStorm: Arctic Edge,MotorStorm,2009,6th Generation,Sony PlayStation Portable,,,,,Low,Needs manual review.,game_lists_6th_gen_enriched
Need for Speed: Carbon,Need for Speed,2006,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Hot Pursuit 2,Need for Speed,2002,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Most Wanted,Need for Speed,2005,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: ProStreet,Need for Speed,2007,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Undercover,Need for Speed,2008,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground,Need for Speed,2003,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground 2,Need for Speed,2004,6th Generation,Sony PlayStation 2,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Carbon - Own the City,Need for Speed,2006,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,EA Black Box,Racing,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Need for Speed: Most Wanted,Need for Speed,2005,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground,Need for Speed,2003,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground 2,Need for Speed,2004,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Porsche Unleashed,Need for Speed,2005,6th Generation,Nintendo GameBoy Advance,,Electronic Arts,Eden Studios,Racing,High,,game_lists_6th_gen_enriched
Need for Speed: Carbon,Need for Speed,2006,6th Generation,Nintendo GameCube,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Hot Pursuit 2,Need for Speed,2002,6th Generation,Nintendo GameCube,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Most Wanted,Need for Speed,2005,6th Generation,Nintendo GameCube,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: ProStreet,Need for Speed,2007,6th Generation,Nintendo GameCube,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground,Need for Speed,2003,6th Generation,Nintendo GameCube,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground 2,Need for Speed,2004,6th Generation,Nintendo GameCube,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed Carbon: Own the City,Need for Speed,2006,6th Generation,Nintendo DS,,Electronic Arts,EA Black Box,Racing,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Need for Speed: Most Wanted,Need for Speed,2005,6th Generation,Nintendo DS,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Nitro,Need for Speed,2009,6th Generation,Nintendo DS,,Electronic Arts,EA Black Box,Racing,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Need for Speed: ProStreet,Need for Speed,2007,6th Generation,Nintendo DS,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Undercover,Need for Speed,2008,6th Generation,Nintendo DS,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground 2,Need for Speed,2005,6th Generation,Nintendo DS,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed Carbon: Own the City,Need for Speed,2006,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA Black Box,Racing,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Need for Speed: Most Wanted 5-1-0,Need for Speed,2005,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA Black Box,Racing,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Need for Speed: ProStreet,Need for Speed,2008,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Shift,Need for Speed,2009,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Undercover,Need for Speed,2008,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA / Criterion Games / Black Box / Slightly Mad Studios,Racing,Medium,Developer differs by title; Shift entries by Slightly Mad Studios.,game_lists_6th_gen_enriched
Need for Speed: Underground Rivals,Need for Speed,2005,6th Generation,Sony PlayStation Portable,,Electronic Arts,EA Black Box,Racing,Medium,Developer varies by platform/port.,game_lists_6th_gen_enriched
Nicktoons: Battle for Volcano Island,Nickelodeon,2006,6th Generation,Nintendo GameCube,,THQ,Blue Tongue Entertainment,Action-adventure,Medium,,game_lists_6th_gen_enriched
Pac-Man Fever,Pac-Man,2002,6th Generation,Sony PlayStation 2,,Namco,Namco,Party,Medium,,game_lists_6th_gen_enriched
Pac-Man World 2,Pac-Man,2002,6th Generation,Sony PlayStation 2,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Man World 3,Pac-Man,2005,6th Generation,Sony PlayStation 2,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Man World Rally,Pac-Man,2006,6th Generation,Sony PlayStation 2,,Namco,Namco,Racing,Medium,,game_lists_6th_gen_enriched
Classic NES Series: Pac-Man,Pac-Man,2004,6th Generation,Nintendo GameBoy Advance,,Namco,Namco,Maze,High,Classic NES Series re-release.,game_lists_6th_gen_enriched
Ms. Pac-Man Maze Madness,Pac-Man,2004,6th Generation,Nintendo GameBoy Advance,,Namco,Namco Hometek,Maze,High,,game_lists_6th_gen_enriched
Pac-Man Collection,Pac-Man,2001,6th Generation,Nintendo GameBoy Advance,,Namco,Namco,Maze,Medium,,game_lists_6th_gen_enriched
Pac-Man Pinball Advance,Pac-Man,2002,6th Generation,Nintendo GameBoy Advance,,Namco,Namco,Maze,Medium,,game_lists_6th_gen_enriched
Pac-Man World,Pac-Man,2004,6th Generation,Nintendo GameBoy Advance,,Namco,Namco Hometek,Platformer,High,,game_lists_6th_gen_enriched
Pac-Man World 2,Pac-Man,2005,6th Generation,Nintendo GameBoy Advance,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Man Fever,Pac-Man,2002,6th Generation,Nintendo GameCube,,Namco,Namco,Party,Medium,,game_lists_6th_gen_enriched
Pac-Man Vs.,Pac-Man,2003,6th Generation,Nintendo GameCube,,Namco,Namco,Maze,Medium,,game_lists_6th_gen_enriched
Pac-Man World 2,Pac-Man,2002,6th Generation,Nintendo GameCube,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Man World 3,Pac-Man,2005,6th Generation,Nintendo GameCube,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Man World Rally,Pac-Man,2006,6th Generation,Nintendo GameCube,,Namco,Namco,Racing,Medium,,game_lists_6th_gen_enriched
Pac n’ Roll,Pac-Man,2005,6th Generation,Nintendo DS,,Namco,Namco,Puzzle,Medium,,game_lists_6th_gen_enriched
Pac-Man World 3,Pac-Man,2005,6th Generation,Nintendo DS,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Pix,Pac-Man,2005,6th Generation,Nintendo DS,,Namco,Namco,Puzzle,Medium,,game_lists_6th_gen_enriched
Pac-Man World 3,Pac-Man,2005,6th Generation,Sony PlayStation Portable,,Bandai Namco Entertainment,Bandai Namco / Various,Arcade,Medium,Developer varies by title.,game_lists_6th_gen_enriched
Pac-Man World Rally,Pac-Man,2006,6th Generation,Sony PlayStation Portable,,Namco,Namco,Racing,Medium,,game_lists_6th_gen_enriched
The 3rd Birthday,Parasite Eve,2010,6th Generation,Sony PlayStation Portable,,Square Enix,HexaDrive,Third-person Shooter,High,,game_lists_6th_gen_enriched
Patapon,Patapon,2007,6th Generation,Sony PlayStation Portable,,Sony Interactive Entertainment,Pyramid,Rhythm,Medium,Repeated Patapon title appears with multiple years; may represent Patapon sequels.,game_lists_6th_gen_enriched
Patapon,Patapon,2009,6th Generation,Sony PlayStation Portable,,Sony Interactive Entertainment,Pyramid,Rhythm,Medium,Repeated Patapon title appears with multiple years; may represent Patapon sequels.,game_lists_6th_gen_enriched
Patapon,Patapon,2011,6th Generation,Sony PlayStation Portable,,Sony Interactive Entertainment,Pyramid,Rhythm,Medium,Repeated Patapon title appears with multiple years; may represent Patapon sequels.,game_lists_6th_gen_enriched
Peggle: Dual Shot,Peggle,2009,6th Generation,Nintendo DS,,PopCap Games,PopCap Games,Puzzle,High,,game_lists_6th_gen_enriched
Persona 3,Persona,2006,6th Generation,Sony PlayStation 2,,Atlus,Atlus,JRPG,High,,game_lists_6th_gen_enriched
